Subject,Body,Sender,BodyLength,HasLink,NumExclamations,HasSuspiciousWord,SenderDomainReputation,NumUppercaseWords,HasAttachment,Spam
report update,"Hello, here is the report information you requested.",kevin@udec.edu,52,0,0,0,1,0,1,0
prize today,This is your chance to lottery 7989 dollars!!!,user698@freemoney.org,46,2,3,1,0,0,1,1
urgent only,This is your chance to discount 8535 dollars!!!,user645@lottery.net,47,1,3,1,0,0,1,1
report update,"Hello, here is the team information you requested.",lucia@outlook.com,50,0,0,0,1,0,0,0
schedule update,"Hello, here is the university information you requested.",kevin@udec.edu,56,0,0,0,1,0,1,0
university update,"Hello, here is the report information you requested.",kevin@udec.edu,52,0,0,0,1,0,0,0
money today,This is your chance to prize 9151 dollars!!!,user999@freemoney.org,44,2,3,1,1,0,1,1
family update,"Hello, here is the invoice information you requested.",maria@outlook.com,53,0,0,0,1,0,1,0
prize now,This is your chance to crypto 116 dollars!!!,user477@cheapoffers.com,44,1,3,1,0,0,0,1
invoice update,"Hello, here is the team information you requested.",kevin@udec.edu,50,0,0,0,1,0,0,0
document update,"Hello, here is the university information you requested.",kevin@gmail.com,56,0,0,0,1,0,0,0
invoice update,"Hello, here is the schedule information you requested.",lucia@outlook.com,54,1,0,0,1,0,0,0
family update,"Hello, here is the document information you requested.",john@udec.edu,54,0,0,0,1,0,1,0
urgent now,This is your chance to prize 2546 dollars!!!,user878@freemoney.org,44,1,3,1,1,0,1,1
document update,"Hello, here is the document information you requested.",maria@gmail.com,54,0,0,0,1,0,0,0
free now,This is your chance to free 4530 dollars!!!,user794@lottery.net,43,0,3,1,0,0,0,1
urgent today,This is your chance to win 6383 dollars!!!,user686@cheapoffers.com,42,0,3,1,1,0,1,1
win only,This is your chance to win 1251 dollars!!!,user590@freemoney.org,42,2,3,1,0,0,1,1
document update,"Hello, here is the report information you requested.",kevin@outlook.com,52,0,0,0,1,0,1,0
report update,"Hello, here is the project information you requested.",maria@outlook.com,53,0,0,0,1,0,0,0
document update,"Hello, here is the update information you requested.",lucia@gmail.com,52,1,0,0,1,0,0,0
discount only,This is your chance to offer 4102 dollars!!!,user860@cheapoffers.com,44,1,3,1,1,0,0,1
project update,"Hello, here is the university information you requested.",maria@gmail.com,56,0,0,0,1,0,0,0
discount now,This is your chance to money 3451 dollars!!!,user150@freemoney.org,44,0,3,1,0,0,1,1
meeting update,"Hello, here is the schedule information you requested.",john@outlook.com,54,1,0,0,1,0,1,0
meeting update,"Hello, here is the schedule information you requested.",lucia@gmail.com,54,1,0,0,1,0,0,0
invoice update,"Hello, here is the team information you requested.",lucia@gmail.com,50,0,0,0,1,0,1,0
invoice update,"Hello, here is the schedule information you requested.",john@outlook.com,54,0,0,0,1,0,0,0
family update,"Hello, here is the invoice information you requested.",john@outlook.com,53,0,0,0,1,0,1,0
gift now,This is your chance to crypto 3958 dollars!!!,user815@cheapoffers.com,45,0,3,1,1,0,1,1
lottery today,This is your chance to money 887 dollars!!!,user312@lottery.net,43,2,3,1,0,0,1,1
project update,"Hello, here is the meeting information you requested.",lucia@gmail.com,53,0,0,0,1,0,1,0
meeting update,"Hello, here is the university information you requested.",kevin@gmail.com,56,0,0,0,1,0,0,0
project update,"Hello, here is the team information you requested.",john@outlook.com,50,0,0,0,1,0,1,0
update update,"Hello, here is the family information you requested.",lucia@outlook.com,52,1,0,0,1,0,0,0
money today,This is your chance to lottery 4007 dollars!!!,user277@cheapoffers.com,46,0,3,1,0,0,1,1
update update,"Hello, here is the team information you requested.",maria@udec.edu,50,0,0,0,1,0,1,0
report update,"Hello, here is the team information you requested.",john@gmail.com,50,1,0,0,1,0,1,0
document update,"Hello, here is the invoice information you requested.",lucia@outlook.com,53,1,0,0,1,0,0,0
team update,"Hello, here is the team information you requested.",lucia@gmail.com,50,0,0,0,1,0,0,0
crypto only,This is your chance to money 6876 dollars!!!,user166@freemoney.org,44,0,3,1,1,0,0,1
team update,"Hello, here is the update information you requested.",john@outlook.com,52,1,0,0,1,0,0,0
university update,"Hello, here is the report information you requested.",john@udec.edu,52,0,0,0,1,0,1,0
family update,"Hello, here is the report information you requested.",john@udec.edu,52,0,0,0,1,0,1,0
discount only,This is your chance to urgent 5515 dollars!!!,user712@freemoney.org,45,2,3,1,1,0,1,1
win today,This is your chance to lottery 6167 dollars!!!,user370@cheapoffers.com,46,0,3,1,0,0,0,1
team update,"Hello, here is the family information you requested.",john@gmail.com,52,0,0,0,1,0,0,0
invoice update,"Hello, here is the report information you requested.",maria@udec.edu,52,0,0,0,1,0,1,0
invoice update,"Hello, here is the invoice information you requested.",kevin@udec.edu,53,0,0,0,1,0,0,0
schedule update,"Hello, here is the university information you requested.",john@udec.edu,56,0,0,0,1,0,1,0
offer only,This is your chance to crypto 3876 dollars!!!,user473@freemoney.org,45,1,3,1,0,0,1,1
lottery now,This is your chance to lottery 7314 dollars!!!,user886@lottery.net,46,1,3,1,0,0,0,1
project update,"Hello, here is the report information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
university update,"Hello, here is the schedule information you requested.",kevin@outlook.com,54,1,0,0,1,0,1,0
schedule update,"Hello, here is the university information you requested.",john@gmail.com,56,0,0,0,1,0,0,0
schedule update,"Hello, here is the update information you requested.",maria@gmail.com,52,0,0,0,1,0,0,0
university update,"Hello, here is the invoice information you requested.",kevin@udec.edu,53,1,0,0,1,0,0,0
meeting update,"Hello, here is the team information you requested.",maria@gmail.com,50,1,0,0,1,0,0,0
discount today,This is your chance to free 3595 dollars!!!,user171@freemoney.org,43,1,3,1,0,0,0,1
schedule update,"Hello, here is the family information you requested.",kevin@udec.edu,52,1,0,0,1,0,0,0
report update,"Hello, here is the university information you requested.",maria@gmail.com,56,0,0,0,1,0,0,0
document update,"Hello, here is the meeting information you requested.",lucia@outlook.com,53,0,0,0,1,0,0,0
report update,"Hello, here is the schedule information you requested.",maria@udec.edu,54,1,0,0,1,0,1,0
update update,"Hello, here is the project information you requested.",kevin@gmail.com,53,1,0,0,1,0,0,0
invoice update,"Hello, here is the schedule information you requested.",kevin@gmail.com,54,0,0,0,1,0,0,0
invoice update,"Hello, here is the invoice information you requested.",kevin@outlook.com,53,0,0,0,1,0,0,0
university update,"Hello, here is the team information you requested.",lucia@udec.edu,50,0,0,0,1,0,0,0
win only,This is your chance to free 502 dollars!!!,user485@freemoney.org,42,0,3,1,1,0,1,1
update update,"Hello, here is the schedule information you requested.",lucia@outlook.com,54,0,0,0,1,0,0,0
free only,This is your chance to discount 4648 dollars!!!,user955@cheapoffers.com,47,2,3,1,1,0,1,1
university update,"Hello, here is the team information you requested.",john@outlook.com,50,1,0,0,1,0,0,0
urgent now,This is your chance to free 2393 dollars!!!,user600@lottery.net,43,1,3,1,1,0,1,1
team update,"Hello, here is the report information you requested.",lucia@gmail.com,52,1,0,0,1,0,1,0
project update,"Hello, here is the invoice information you requested.",john@udec.edu,53,0,0,0,1,0,0,0
update update,"Hello, here is the project information you requested.",kevin@udec.edu,53,0,0,0,1,0,0,0
document update,"Hello, here is the meeting information you requested.",kevin@outlook.com,53,0,0,0,1,0,0,0
meeting update,"Hello, here is the schedule information you requested.",lucia@outlook.com,54,0,0,0,1,0,0,0
project update,"Hello, here is the university information you requested.",john@gmail.com,56,0,0,0,1,0,1,0
report update,"Hello, here is the report information you requested.",lucia@outlook.com,52,0,0,0,1,0,0,0
free today,This is your chance to win 4987 dollars!!!,user571@freemoney.org,42,1,3,1,1,0,0,1
report update,"Hello, here is the document information you requested.",kevin@udec.edu,54,0,0,0,1,0,0,0
document update,"Hello, here is the schedule information you requested.",maria@outlook.com,54,0,0,0,1,0,1,0
report update,"Hello, here is the team information you requested.",lucia@outlook.com,50,0,0,0,1,0,1,0
report update,"Hello, here is the university information you requested.",kevin@outlook.com,56,0,0,0,1,0,1,0
team update,"Hello, here is the meeting information you requested.",john@gmail.com,53,0,0,0,1,0,1,0
schedule update,"Hello, here is the family information you requested.",john@gmail.com,52,0,0,0,1,0,0,0
schedule update,"Hello, here is the invoice information you requested.",maria@gmail.com,53,0,0,0,1,0,1,0
team update,"Hello, here is the invoice information you requested.",lucia@gmail.com,53,0,0,0,1,0,0,0
document update,"Hello, here is the invoice information you requested.",maria@gmail.com,53,0,0,0,1,0,1,0
project update,"Hello, here is the family information you requested.",maria@outlook.com,52,0,0,0,1,0,1,0
lottery now,This is your chance to free 4170 dollars!!!,user393@lottery.net,43,2,3,1,0,0,1,1
university update,"Hello, here is the update information you requested.",kevin@outlook.com,52,0,0,0,1,0,1,0
project update,"Hello, here is the schedule information you requested.",lucia@gmail.com,54,0,0,0,1,0,1,0
meeting update,"Hello, here is the meeting information you requested.",lucia@gmail.com,53,0,0,0,1,0,1,0
schedule update,"Hello, here is the meeting information you requested.",lucia@udec.edu,53,1,0,0,1,0,0,0
university update,"Hello, here is the university information you requested.",lucia@gmail.com,56,1,0,0,1,0,1,0
gift today,This is your chance to free 9732 dollars!!!,user764@lottery.net,43,2,3,1,0,0,1,1
project update,"Hello, here is the university information you requested.",john@udec.edu,56,1,0,0,1,0,0,0
gift today,This is your chance to lottery 5873 dollars!!!,user366@lottery.net,46,1,3,1,1,0,1,1
university update,"Hello, here is the meeting information you requested.",maria@udec.edu,53,0,0,0,1,0,0,0
family update,"Hello, here is the document information you requested.",john@outlook.com,54,1,0,0,1,0,1,0
meeting update,"Hello, here is the report information you requested.",maria@outlook.com,52,0,0,0,1,0,0,0
team update,"Hello, here is the report information you requested.",lucia@outlook.com,52,0,0,0,1,0,0,0
free today,This is your chance to gift 8265 dollars!!!,user358@cheapoffers.com,43,0,3,1,1,0,1,1
prize now,This is your chance to money 5260 dollars!!!,user173@freemoney.org,44,2,3,1,1,0,1,1
crypto now,This is your chance to crypto 4512 dollars!!!,user132@lottery.net,45,2,3,1,0,0,0,1
meeting update,"Hello, here is the university information you requested.",john@gmail.com,56,0,0,0,1,0,0,0
lottery only,This is your chance to offer 8908 dollars!!!,user310@freemoney.org,44,0,3,1,1,0,1,1
money only,This is your chance to free 3972 dollars!!!,user731@cheapoffers.com,43,0,3,1,0,0,1,1
report update,"Hello, here is the schedule information you requested.",maria@udec.edu,54,1,0,0,1,0,1,0
schedule update,"Hello, here is the schedule information you requested.",john@gmail.com,54,1,0,0,1,0,1,0
prize now,This is your chance to offer 4364 dollars!!!,user322@freemoney.org,44,2,3,1,0,0,1,1
win now,This is your chance to offer 6631 dollars!!!,user927@cheapoffers.com,44,2,3,1,0,0,0,1
offer only,This is your chance to money 3540 dollars!!!,user412@lottery.net,44,2,3,1,0,0,0,1
meeting update,"Hello, here is the project information you requested.",maria@gmail.com,53,0,0,0,1,0,0,0
meeting update,"Hello, here is the report information you requested.",kevin@udec.edu,52,1,0,0,1,0,0,0
offer only,This is your chance to prize 5429 dollars!!!,user981@lottery.net,44,2,3,1,1,0,1,1
discount now,This is your chance to prize 7035 dollars!!!,user733@lottery.net,44,2,3,1,1,0,1,1
report update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,0,0,0,1,0,1,0
meeting update,"Hello, here is the meeting information you requested.",john@gmail.com,53,0,0,0,1,0,0,0
gift only,This is your chance to gift 9301 dollars!!!,user514@freemoney.org,43,0,3,1,1,0,1,1
meeting update,"Hello, here is the schedule information you requested.",kevin@gmail.com,54,0,0,0,1,0,0,0
crypto today,This is your chance to crypto 6339 dollars!!!,user426@cheapoffers.com,45,1,3,1,1,0,1,1
urgent today,This is your chance to discount 5024 dollars!!!,user684@cheapoffers.com,47,2,3,1,1,0,0,1
team update,"Hello, here is the family information you requested.",kevin@outlook.com,52,0,0,0,1,0,1,0
discount now,This is your chance to win 1362 dollars!!!,user981@lottery.net,42,2,3,1,0,0,1,1
project update,"Hello, here is the update information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
meeting update,"Hello, here is the meeting information you requested.",maria@gmail.com,53,1,0,0,1,0,0,0
crypto only,This is your chance to discount 6301 dollars!!!,user135@lottery.net,47,1,3,1,1,0,0,1
discount today,This is your chance to crypto 1418 dollars!!!,user659@lottery.net,45,0,3,1,1,0,1,1
gift only,This is your chance to crypto 6665 dollars!!!,user287@cheapoffers.com,45,0,3,1,0,0,1,1
report update,"Hello, here is the university information you requested.",kevin@gmail.com,56,1,0,0,1,0,0,0
discount only,This is your chance to urgent 298 dollars!!!,user887@cheapoffers.com,44,2,3,1,1,0,0,1
free now,This is your chance to crypto 5868 dollars!!!,user691@cheapoffers.com,45,0,3,1,1,0,1,1
document update,"Hello, here is the family information you requested.",john@outlook.com,52,0,0,0,1,0,1,0
report update,"Hello, here is the update information you requested.",kevin@outlook.com,52,0,0,0,1,0,0,0
project update,"Hello, here is the university information you requested.",kevin@gmail.com,56,0,0,0,1,0,1,0
free only,This is your chance to crypto 8154 dollars!!!,user556@lottery.net,45,1,3,1,1,0,1,1
team update,"Hello, here is the report information you requested.",lucia@udec.edu,52,0,0,0,1,0,0,0
money only,This is your chance to discount 9524 dollars!!!,user745@cheapoffers.com,47,0,3,1,0,0,1,1
family update,"Hello, here is the family information you requested.",kevin@gmail.com,52,1,0,0,1,0,0,0
project update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,1,0,0,1,0,0,0
invoice update,"Hello, here is the project information you requested.",lucia@gmail.com,53,0,0,0,1,0,1,0
schedule update,"Hello, here is the document information you requested.",john@gmail.com,54,1,0,0,1,0,0,0
invoice update,"Hello, here is the update information you requested.",kevin@gmail.com,52,0,0,0,1,0,1,0
update update,"Hello, here is the schedule information you requested.",maria@udec.edu,54,1,0,0,1,0,0,0
money now,This is your chance to free 6437 dollars!!!,user901@freemoney.org,43,1,3,1,1,0,1,1
family update,"Hello, here is the update information you requested.",kevin@udec.edu,52,1,0,0,1,0,0,0
meeting update,"Hello, here is the report information you requested.",john@udec.edu,52,0,0,0,1,0,0,0
money only,This is your chance to crypto 4966 dollars!!!,user173@freemoney.org,45,2,3,1,1,0,1,1
team update,"Hello, here is the family information you requested.",kevin@gmail.com,52,0,0,0,1,0,0,0
document update,"Hello, here is the schedule information you requested.",kevin@gmail.com,54,0,0,0,1,0,0,0
meeting update,"Hello, here is the document information you requested.",kevin@udec.edu,54,1,0,0,1,0,1,0
free today,This is your chance to discount 7619 dollars!!!,user905@freemoney.org,47,1,3,1,1,0,1,1
family update,"Hello, here is the invoice information you requested.",lucia@outlook.com,53,0,0,0,1,0,1,0
family update,"Hello, here is the project information you requested.",lucia@gmail.com,53,0,0,0,1,0,0,0
schedule update,"Hello, here is the report information you requested.",kevin@gmail.com,52,0,0,0,1,0,1,0
prize today,This is your chance to free 7909 dollars!!!,user466@freemoney.org,43,1,3,1,1,0,1,1
free now,This is your chance to free 2772 dollars!!!,user671@cheapoffers.com,43,0,3,1,0,0,1,1
lottery now,This is your chance to offer 7016 dollars!!!,user838@lottery.net,44,0,3,1,1,0,1,1
meeting update,"Hello, here is the invoice information you requested.",lucia@outlook.com,53,1,0,0,1,0,1,0
update update,"Hello, here is the report information you requested.",john@gmail.com,52,0,0,0,1,0,1,0
update update,"Hello, here is the schedule information you requested.",john@udec.edu,54,0,0,0,1,0,1,0
team update,"Hello, here is the university information you requested.",lucia@gmail.com,56,0,0,0,1,0,0,0
report update,"Hello, here is the schedule information you requested.",lucia@gmail.com,54,0,0,0,1,0,1,0
project update,"Hello, here is the university information you requested.",lucia@outlook.com,56,1,0,0,1,0,0,0
update update,"Hello, here is the update information you requested.",john@outlook.com,52,0,0,0,1,0,0,0
family update,"Hello, here is the meeting information you requested.",lucia@outlook.com,53,0,0,0,1,0,0,0
meeting update,"Hello, here is the invoice information you requested.",lucia@gmail.com,53,0,0,0,1,0,0,0
university update,"Hello, here is the schedule information you requested.",john@outlook.com,54,0,0,0,1,0,1,0
project update,"Hello, here is the update information you requested.",kevin@udec.edu,52,1,0,0,1,0,1,0
free today,This is your chance to free 9805 dollars!!!,user161@lottery.net,43,0,3,1,1,0,0,1
invoice update,"Hello, here is the family information you requested.",lucia@outlook.com,52,1,0,0,1,0,0,0
meeting update,"Hello, here is the family information you requested.",lucia@udec.edu,52,1,0,0,1,0,0,0
update update,"Hello, here is the update information you requested.",lucia@udec.edu,52,1,0,0,1,0,1,0
update update,"Hello, here is the meeting information you requested.",maria@udec.edu,53,0,0,0,1,0,0,0
invoice update,"Hello, here is the university information you requested.",john@udec.edu,56,1,0,0,1,0,1,0
family update,"Hello, here is the family information you requested.",lucia@gmail.com,52,0,0,0,1,0,0,0
urgent today,This is your chance to gift 5249 dollars!!!,user896@freemoney.org,43,0,3,1,1,0,1,1
university update,"Hello, here is the family information you requested.",kevin@gmail.com,52,1,0,0,1,0,1,0
invoice update,"Hello, here is the document information you requested.",john@outlook.com,54,0,0,0,1,0,0,0
schedule update,"Hello, here is the university information you requested.",john@udec.edu,56,0,0,0,1,0,0,0
team update,"Hello, here is the document information you requested.",lucia@gmail.com,54,1,0,0,1,0,1,0
document update,"Hello, here is the report information you requested.",maria@udec.edu,52,1,0,0,1,0,1,0
lottery now,This is your chance to free 1605 dollars!!!,user338@lottery.net,43,1,3,1,1,0,1,1
university update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,0,0,0,1,0,0,0
invoice update,"Hello, here is the project information you requested.",john@udec.edu,53,1,0,0,1,0,0,0
update update,"Hello, here is the team information you requested.",maria@outlook.com,50,0,0,0,1,0,0,0
invoice update,"Hello, here is the family information you requested.",lucia@outlook.com,52,1,0,0,1,0,0,0
document update,"Hello, here is the report information you requested.",maria@gmail.com,52,0,0,0,1,0,1,0
invoice update,"Hello, here is the family information you requested.",maria@udec.edu,52,0,0,0,1,0,1,0
report update,"Hello, here is the invoice information you requested.",maria@udec.edu,53,1,0,0,1,0,0,0
document update,"Hello, here is the document information you requested.",lucia@udec.edu,54,0,0,0,1,0,0,0
update update,"Hello, here is the project information you requested.",kevin@udec.edu,53,1,0,0,1,0,0,0
university update,"Hello, here is the university information you requested.",kevin@gmail.com,56,0,0,0,1,0,0,0
update update,"Hello, here is the invoice information you requested.",john@outlook.com,53,0,0,0,1,0,0,0
discount today,This is your chance to prize 4689 dollars!!!,user726@freemoney.org,44,2,3,1,1,0,1,1
report update,"Hello, here is the team information you requested.",john@udec.edu,50,1,0,0,1,0,0,0
update update,"Hello, here is the schedule information you requested.",lucia@gmail.com,54,0,0,0,1,0,0,0
report update,"Hello, here is the invoice information you requested.",lucia@udec.edu,53,1,0,0,1,0,1,0
money now,This is your chance to prize 5931 dollars!!!,user984@freemoney.org,44,2,3,1,1,0,1,1
meeting update,"Hello, here is the team information you requested.",lucia@udec.edu,50,0,0,0,1,0,0,0
schedule update,"Hello, here is the project information you requested.",kevin@gmail.com,53,0,0,0,1,0,0,0
gift today,This is your chance to gift 6262 dollars!!!,user669@lottery.net,43,1,3,1,1,0,1,1
urgent only,This is your chance to gift 5696 dollars!!!,user765@lottery.net,43,0,3,1,0,0,1,1
university update,"Hello, here is the family information you requested.",maria@outlook.com,52,0,0,0,1,0,1,0
meeting update,"Hello, here is the schedule information you requested.",kevin@outlook.com,54,0,0,0,1,0,1,0
invoice update,"Hello, here is the invoice information you requested.",maria@gmail.com,53,1,0,0,1,0,1,0
update update,"Hello, here is the university information you requested.",lucia@outlook.com,56,1,0,0,1,0,1,0
meeting update,"Hello, here is the report information you requested.",john@udec.edu,52,1,0,0,1,0,1,0
document update,"Hello, here is the report information you requested.",john@udec.edu,52,0,0,0,1,0,1,0
family update,"Hello, here is the project information you requested.",john@udec.edu,53,0,0,0,1,0,1,0
invoice update,"Hello, here is the university information you requested.",kevin@outlook.com,56,0,0,0,1,0,1,0
win only,This is your chance to prize 5091 dollars!!!,user939@lottery.net,44,1,3,1,1,0,1,1
meeting update,"Hello, here is the document information you requested.",maria@udec.edu,54,1,0,0,1,0,1,0
project update,"Hello, here is the university information you requested.",john@outlook.com,56,1,0,0,1,0,0,0
team update,"Hello, here is the university information you requested.",maria@outlook.com,56,0,0,0,1,0,1,0
update update,"Hello, here is the document information you requested.",lucia@gmail.com,54,0,0,0,1,0,1,0
update update,"Hello, here is the meeting information you requested.",maria@outlook.com,53,1,0,0,1,0,1,0
university update,"Hello, here is the project information you requested.",lucia@gmail.com,53,1,0,0,1,0,1,0
invoice update,"Hello, here is the invoice information you requested.",maria@gmail.com,53,0,0,0,1,0,1,0
invoice update,"Hello, here is the update information you requested.",maria@gmail.com,52,0,0,0,1,0,1,0
invoice update,"Hello, here is the meeting information you requested.",maria@outlook.com,53,0,0,0,1,0,0,0
team update,"Hello, here is the update information you requested.",john@udec.edu,52,0,0,0,1,0,0,0
family update,"Hello, here is the team information you requested.",john@udec.edu,50,1,0,0,1,0,1,0
project update,"Hello, here is the schedule information you requested.",maria@outlook.com,54,0,0,0,1,0,1,0
money only,This is your chance to win 2337 dollars!!!,user231@lottery.net,42,2,3,1,0,0,1,1
update update,"Hello, here is the project information you requested.",maria@gmail.com,53,0,0,0,1,0,1,0
family update,"Hello, here is the document information you requested.",maria@gmail.com,54,1,0,0,1,0,0,0
university update,"Hello, here is the invoice information you requested.",maria@outlook.com,53,0,0,0,1,0,1,0
invoice update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,0,0,0,1,0,1,0
family update,"Hello, here is the update information you requested.",john@gmail.com,52,0,0,0,1,0,1,0
project update,"Hello, here is the team information you requested.",maria@gmail.com,50,0,0,0,1,0,0,0
report update,"Hello, here is the family information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
update update,"Hello, here is the team information you requested.",kevin@outlook.com,50,0,0,0,1,0,1,0
gift today,This is your chance to money 1017 dollars!!!,user397@cheapoffers.com,44,1,3,1,1,0,0,1
university update,"Hello, here is the university information you requested.",john@udec.edu,56,1,0,0,1,0,0,0
report update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,1,0,0,1,0,1,0
money today,This is your chance to gift 1183 dollars!!!,user415@lottery.net,43,1,3,1,0,0,0,1
money only,This is your chance to urgent 8307 dollars!!!,user844@freemoney.org,45,2,3,1,0,0,1,1
prize today,This is your chance to money 5980 dollars!!!,user202@cheapoffers.com,44,1,3,1,1,0,1,1
project update,"Hello, here is the document information you requested.",john@gmail.com,54,1,0,0,1,0,0,0
win only,This is your chance to win 1224 dollars!!!,user225@freemoney.org,42,1,3,1,0,0,1,1
lottery now,This is your chance to urgent 6471 dollars!!!,user615@lottery.net,45,0,3,1,1,0,1,1
invoice update,"Hello, here is the university information you requested.",lucia@outlook.com,56,0,0,0,1,0,1,0
report update,"Hello, here is the project information you requested.",kevin@gmail.com,53,0,0,0,1,0,1,0
free now,This is your chance to free 8806 dollars!!!,user659@freemoney.org,43,2,3,1,0,0,1,1
prize now,This is your chance to prize 5192 dollars!!!,user402@freemoney.org,44,0,3,1,0,0,1,1
university update,"Hello, here is the meeting information you requested.",maria@udec.edu,53,0,0,0,1,0,0,0
money only,This is your chance to gift 460 dollars!!!,user399@freemoney.org,42,0,3,1,0,0,0,1
family update,"Hello, here is the meeting information you requested.",maria@udec.edu,53,1,0,0,1,0,0,0
free now,This is your chance to gift 9230 dollars!!!,user759@lottery.net,43,0,3,1,0,0,1,1
report update,"Hello, here is the update information you requested.",lucia@udec.edu,52,0,0,0,1,0,1,0
update update,"Hello, here is the team information you requested.",lucia@gmail.com,50,1,0,0,1,0,1,0
family update,"Hello, here is the document information you requested.",lucia@udec.edu,54,0,0,0,1,0,1,0
prize now,This is your chance to free 1560 dollars!!!,user439@cheapoffers.com,43,1,3,1,0,0,1,1
invoice update,"Hello, here is the update information you requested.",john@outlook.com,52,0,0,0,1,0,1,0
update update,"Hello, here is the project information you requested.",kevin@gmail.com,53,0,0,0,1,0,0,0
report update,"Hello, here is the invoice information you requested.",kevin@outlook.com,53,0,0,0,1,0,1,0
project update,"Hello, here is the team information you requested.",kevin@outlook.com,50,0,0,0,1,0,0,0
document update,"Hello, here is the family information you requested.",maria@outlook.com,52,1,0,0,1,0,0,0
discount only,This is your chance to discount 9680 dollars!!!,user120@cheapoffers.com,47,2,3,1,0,0,0,1
university update,"Hello, here is the invoice information you requested.",maria@udec.edu,53,0,0,0,1,0,1,0
university update,"Hello, here is the document information you requested.",kevin@gmail.com,54,0,0,0,1,0,0,0
team update,"Hello, here is the schedule information you requested.",lucia@udec.edu,54,1,0,0,1,0,0,0
money today,This is your chance to offer 3629 dollars!!!,user860@lottery.net,44,1,3,1,1,0,0,1
win today,This is your chance to money 8552 dollars!!!,user551@lottery.net,44,1,3,1,1,0,1,1
project update,"Hello, here is the schedule information you requested.",john@gmail.com,54,0,0,0,1,0,0,0
win today,This is your chance to urgent 3212 dollars!!!,user451@cheapoffers.com,45,1,3,1,1,0,1,1
lottery today,This is your chance to lottery 2895 dollars!!!,user151@cheapoffers.com,46,0,3,1,0,0,0,1
team update,"Hello, here is the family information you requested.",maria@outlook.com,52,0,0,0,1,0,1,0
family update,"Hello, here is the meeting information you requested.",john@outlook.com,53,0,0,0,1,0,1,0
prize today,This is your chance to prize 9515 dollars!!!,user123@cheapoffers.com,44,1,3,1,0,0,1,1
update update,"Hello, here is the schedule information you requested.",lucia@gmail.com,54,1,0,0,1,0,1,0
schedule update,"Hello, here is the team information you requested.",kevin@gmail.com,50,1,0,0,1,0,0,0
free now,This is your chance to free 8564 dollars!!!,user887@freemoney.org,43,0,3,1,0,0,1,1
document update,"Hello, here is the family information you requested.",lucia@gmail.com,52,0,0,0,1,0,1,0
meeting update,"Hello, here is the project information you requested.",maria@udec.edu,53,1,0,0,1,0,1,0
report update,"Hello, here is the document information you requested.",john@outlook.com,54,0,0,0,1,0,0,0
document update,"Hello, here is the team information you requested.",lucia@outlook.com,50,0,0,0,1,0,0,0
free now,This is your chance to free 7905 dollars!!!,user183@cheapoffers.com,43,0,3,1,1,0,1,1
schedule update,"Hello, here is the document information you requested.",lucia@outlook.com,54,1,0,0,1,0,1,0
schedule update,"Hello, here is the family information you requested.",maria@udec.edu,52,0,0,0,1,0,0,0
schedule update,"Hello, here is the team information you requested.",lucia@gmail.com,50,0,0,0,1,0,1,0
prize now,This is your chance to gift 6375 dollars!!!,user847@cheapoffers.com,43,0,3,1,0,0,1,1
free now,This is your chance to urgent 2337 dollars!!!,user714@cheapoffers.com,45,0,3,1,1,0,0,1
offer today,This is your chance to free 8425 dollars!!!,user761@lottery.net,43,2,3,1,0,0,1,1
invoice update,"Hello, here is the invoice information you requested.",lucia@udec.edu,53,0,0,0,1,0,0,0
lottery today,This is your chance to offer 6918 dollars!!!,user111@freemoney.org,44,2,3,1,0,0,0,1
win only,This is your chance to money 2524 dollars!!!,user567@cheapoffers.com,44,0,3,1,1,0,0,1
win today,This is your chance to gift 517 dollars!!!,user454@lottery.net,42,2,3,1,1,0,1,1
update update,"Hello, here is the document information you requested.",john@outlook.com,54,0,0,0,1,0,1,0
update update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,0,0,0,1,0,1,0
document update,"Hello, here is the team information you requested.",lucia@outlook.com,50,1,0,0,1,0,1,0
invoice update,"Hello, here is the meeting information you requested.",lucia@outlook.com,53,0,0,0,1,0,0,0
meeting update,"Hello, here is the document information you requested.",john@outlook.com,54,1,0,0,1,0,0,0
meeting update,"Hello, here is the project information you requested.",kevin@gmail.com,53,0,0,0,1,0,1,0
project update,"Hello, here is the update information you requested.",kevin@gmail.com,52,0,0,0,1,0,1,0
schedule update,"Hello, here is the invoice information you requested.",john@gmail.com,53,0,0,0,1,0,0,0
update update,"Hello, here is the team information you requested.",kevin@gmail.com,50,0,0,0,1,0,1,0
report update,"Hello, here is the university information you requested.",kevin@udec.edu,56,0,0,0,1,0,0,0
meeting update,"Hello, here is the project information you requested.",kevin@outlook.com,53,0,0,0,1,0,0,0
document update,"Hello, here is the project information you requested.",kevin@outlook.com,53,0,0,0,1,0,0,0
